Date,Close
5/14/2018 16:00:00,54.9
5/15/2018 16:00:00,53.92
5/16/2018 16:00:00,54.64
5/17/2018 16:00:00,54.81
5/18/2018 16:00:00,54.81
5/21/2018 16:00:00,54.32
5/22/2018 16:00:00,54.45
5/23/2018 16:00:00,55.21
5/24/2018 16:00:00,54.75
5/25/2018 16:00:00,55.44
5/29/2018 16:00:00,55.32
5/30/2018 16:00:00,55.68
5/31/2018 16:00:00,55.68
6/1/2018 16:00:00,57.08
6/4/2018 16:00:00,56.83
6/5/2018 16:00:00,56.53
6/6/2018 16:00:00,57.03
6/7/2018 16:00:00,55.88
6/8/2018 16:00:00,55.05
6/11/2018 16:00:00,54.52
6/12/2018 16:00:00,54.82
6/13/2018 16:00:00,55.03
6/14/2018 16:00:00,55.54
6/15/2018 16:00:00,55.11
6/18/2018 16:00:00,53.22
6/19/2018 16:00:00,52.93
6/20/2018 16:00:00,53.46
6/21/2018 16:00:00,52.19
6/22/2018 16:00:00,52.5
6/25/2018 16:00:00,50.71
6/26/2018 16:00:00,49.67
6/27/2018 16:00:00,48.76
6/28/2018 16:00:00,49.25
6/29/2018 16:00:00,49.71
7/2/2018 16:00:00,50.2
7/3/2018 13:00:00,49.47
7/5/2018 16:00:00,50.75
7/6/2018 16:00:00,51.37
7/9/2018 16:00:00,51.86
7/10/2018 16:00:00,52.16
7/11/2018 16:00:00,51.2
7/12/2018 16:00:00,52.35
7/13/2018 16:00:00,52.22
7/16/2018 16:00:00,52.01
7/17/2018 16:00:00,51.75
7/18/2018 16:00:00,51.72
7/19/2018 16:00:00,51.98
7/20/2018 16:00:00,51.91
7/23/2018 16:00:00,52.31
7/24/2018 16:00:00,52.18
7/25/2018 16:00:00,52.43
7/26/2018 16:00:00,52.16
7/27/2018 16:00:00,47.68
7/30/2018 16:00:00,47.69
7/31/2018 16:00:00,48.1
8/1/2018 16:00:00,48.81
8/2/2018 16:00:00,49.48
8/3/2018 16:00:00,49.63
8/6/2018 16:00:00,49.3
8/7/2018 16:00:00,49.7
8/8/2018 16:00:00,49.96
8/9/2018 16:00:00,50.14
8/10/2018 16:00:00,48.85
8/13/2018 16:00:00,48.45
8/14/2018 16:00:00,48.12
8/15/2018 16:00:00,47.46
8/16/2018 16:00:00,47.17
8/17/2018 16:00:00,47.1
8/20/2018 16:00:00,46.5
8/21/2018 16:00:00,47.62
8/22/2018 16:00:00,47.05
8/23/2018 16:00:00,46.98
8/24/2018 16:00:00,47.66
8/27/2018 16:00:00,48.35
8/28/2018 16:00:00,48.57
8/29/2018 16:00:00,48.75
8/30/2018 16:00:00,48.24
8/31/2018 16:00:00,48.43
9/4/2018 16:00:00,47.96
9/5/2018 16:00:00,47.72
9/6/2018 16:00:00,47.26
9/7/2018 16:00:00,46.45
9/10/2018 16:00:00,46.3
9/11/2018 16:00:00,44.93
9/12/2018 16:00:00,44.93
9/13/2018 16:00:00,45.57
9/14/2018 16:00:00,45.54
9/17/2018 16:00:00,45.42
9/18/2018 16:00:00,46.1
9/19/2018 16:00:00,46.15
9/20/2018 16:00:00,47.2
9/21/2018 16:00:00,46.66
9/24/2018 16:00:00,46.91
9/25/2018 16:00:00,45.91
9/26/2018 16:00:00,45.7
9/27/2018 16:00:00,45.88
9/28/2018 16:00:00,47.29
10/1/2018 16:00:00,46.45
10/2/2018 16:00:00,48.1
10/3/2018 16:00:00,48.76
10/4/2018 16:00:00,48.13
10/5/2018 16:00:00,47.03
10/8/2018 16:00:00,47.03
10/9/2018 16:00:00,46.55
